module_code,module_name,Old ID,question_code,sort,subject_id,module_code,reason,kind,content,REFERENCE,response_1,target_1,response_2,target_2,response_3,target_3,return_node,target_module,return,decision_node,meets_respons,boolean,conclusion_1,conclusion_2,examples,asc,faq,help,report_summary,summary,,json
,,68,21-13,13,3,21,Stock Compensation,r,"Stock compensation paid to a nonemployee for goods and/or services becomes subject to evauluation under ASC 815-10 once performance has occurred. Since the equity-linked contract meets the accounting definition of a derivative, the contract should be accounted for as a freestanding derivative initially recorded at fair value and subsequently remeasured at fair value. Any changes in fair value should be recoognized as gain or loss in income.",,,,,,,,,,,,,,,,,,,,,,,
,,248,21-14,14,3,21,Stock Compensation,r,"Stock compensation paid to a nonemployee for goods and/or services becomes subject to evauluation under ASC 815-10 once performance has occurred. However, since the equity-linked contract does not meet the accounting definition of a derivative, the contract should be recorded at fair value in accordance with ASC 505-50 and should not be subsequently remeasured.",,,,,,,,,,,,,,,,,,,,,,,
,,249,21-15,15,3,21,Stock Compensation,r,"Stock compensation paid to a nonemployee for which the products and/or services have not been provided should be accounted for in accordance with ASC 505-50, Equity-Based Payments to Nonemployees.",,,,,,,,,,,,,,,,,,,,,"The stock-based compensation modules are under development. Until then, please refer to ASC 718 for accounting guidance applicable to stock-based compensation issued to employees.",,
22,distinguishing_liabilities_equity,241,22-1,1,5,22,ASC 460,q,"Is this a mandatorily redeemable financial instrument (e.g., mandatorily redeemable preferred stock)?",,Yes,22-6,No,22-2,,,,,,22-6,Yes,,,,,,,,,,,
,,242,22-2,2,5,22,ASC 460,q,Is this instrument an obligation to repurchase the companys shares for cash or by transferring some other asset to the counterparty?,,Yes,22-6,No,22-3,,,,,,22-6,Yes,,,,,,,,,,,
,,243,22-3,3,5,22,ASC 460,q,Is this an obligation to issue to the holder a variable number of shares based on a fixed monetary amount known at inception of the instrument?,,Yes,22-6,No,22-4,,,,,,22-6,Yes,,,,,,,,,,,
,,244,22-4,4,5,22,ASC 460,q,Is this an obligation to issue to the holder a variable number of shares based on variations on something other than the fair value of the entity's own stock?,,Yes,22-6,No,22-5,,,,,,22-6,Yes,,,,,,,,,,,
,,245,22-5,5,5,22,ASC 460,q,Is this an obligation to issue to the holder a variable number of shares based on variations inversely related to changes in the fair value of the entitys own stock?,,Yes,22-6,No,22-6,,,,,,22-6,Yes,,,,,,,,,,,
,,,22-6,6,5,22,ASC 460,d,Pass - falls within ASC 480,,Yes,,No,,,,,,TRUE,,Yes,or,,,,,,,,,,
,,251,22-7,7,5,22,ASC 460,r,"Account for the contract in accordance with ASC 480, Distingushing Liabilities from Equity. A more through treatment of ASC 480 will be undertaken by GAAP Logic in a future project.",,,,,,,,,,,,,,,,,,,,,,,
24,lease,250,24-1,1,4,24,Lease,r,"The lease contract should be accounted for under ASC 840, Leases. A more thorough treatment of ASC 840 will be undertaken by GAAP Logic in a future project. It is not uncommon, however, for a lease to contain one or more provisions that meet the accounting definition of a derivitive and require separate accounting as an embedded derivative. Since the lease is linked to the company's equity, those provisions should be specifically evaluated as an embedded derivative feature.",,,,,,,,,,,,,,,,,,,,,"The stock-based compensation modules are under development. Until then, please refer to ASC 505-50 for accounting guidance applicable to stock-based compensation issued to nonemployees. PLEASE NOTE: The contract should be re-analyzed following delivery of the goods and/or services by the nonemployee.",,
25,indexed_to_own_stock,118,25-1,1,8,25,Indexed to Own Stock,q,Is the instrument's exercise contingent?,,Yes,25-2,No,25-3,,,,,,,,,,,,,,,,,,
,,119,25-2,2,8,25,Indexed to Own Stock,q,"Is the contingency based on a) an observable market, other than the market for the issuer's stock, or b) an observable index, other than one measured solely by reference to the issuer''s own operations?",,Yes,25-3,No,25-3,,,,,,25-4,Yes,,,,,ASC 815-40-15-7A and 7B,"1) Can the observable index be a stock market index if my company is one of the companies listed in the index?\n\nNo. There can be no other factor other than the company itself. In this case the stock of other companies is part of the observable index which does not meet the criterion.\n\n2) Can the observable index be a benchmark interest rate if all my company's borrowings are done based on that index?\n\nNo. A benchmark index reflects a number of market factors that have nothing to do with your entity, including inflation and general economic conditions. While these factors may also impact the operations of your company, a benchmark rate is not a measure that is determined solely by reference to your company's operations.","Determining whether an instrument is linked to the entity's own stock is a two part test. The first criterion (ASC 815-40-15-7A and 7B) looks at the exercise contingencies, if any, and evaluates their nature. If there are no exercise contingencies, then the first criterion is met. However, if there are one or more exercise contingencies, they must be based solely on either 1) the market for the entity's own stock (e.g., trading volume, closing price, average for a given time period) or 2) some observable index the is a measure solely by reference to the entity's own operations (e.g., net income, earnings per share, revenue). If the contingency is based on any other market (e.g., S&P 500) or observable index (e.g., rate of inflation, an interest rate benchmark), then this criterion is not met. Remember, this must be a contingency based solely on some measurement of the entity itself and no other outside factor or factors regardless of how minimal.\n\nThe ASC provides a list of example exercise contingencies that meet or do not meet the criterion. The can be found at ASC 815-40-___). Several of these are common exercise contingencies found in equity-linked agreements. Click Examples for a list of additional examples.",,An equity-linked instrument that meets the accounting definition of a derivative is subject to derivative accounting unless it is both indexed to the entity''s own stock and classified in equity. This is the first of two questions to determine if the freestanding agreement is indexed to the company''s own stock.,,
,,120,25-3,3,8,25,Indexed to Own Stock,q,Is the settlement amount equal to the difference between the fair value of a fixed number of the entity's shares and a) a fixed monetary amount or b) a fixed amount of debt issued by the entity?,,Yes,25-4,No,25-4,,,,,,25-4,No,,,,,ASC 815-40-15-7C and 7I,,"The second criteria for determining whether an instrument is indexed to the entity's own stock looks at the settlement provisions; specifically, the settlement amount must be equal to the difference between the fair value of a fixed number of its shares and a fixed monetary amount or a fixed amount of debt (ASC 815-40-15-7C and 7I).\n\nAt first glance this seems like a simple calculation. However, there are a number of factors that go into determining fair value. Any terms built into the settlement provisions of the instrument that affect the settlement outcome that are not also inputs to determining fair value act as a poison pill and result in the criterion not being met. This has a significant impact since settlement provisions will frequently have terms that are designed to protect the holder from downside risks. One of the most frequent provisions of this type found in an equity-linked transaction is a so-called down-round price protection provision. This can carry a number of names including 'half-ratchet anti-dilution', 'full-ratchet anti-dilution' and many others. Regardless of the name, the intent is the same...to adjust the conversion price of the instrument in the event that the entity subsequently enters into a financing at a share price lower than that of the instrument being analyzed.\n\nDon't be fooled by the term 'anti-dilution'. True anti-dilution provisions are considered acceptable under this criterion. 'Anti-dilution' when used in the context of price protection is not anti-dilution at all and is a misuse of the term. True anti-dilution is designed to offset the effects of stock splits, stock dividends and similar events. They do not improve the instrument holder's financial or economic position. Price protection provisions, regardless of the name given, improve the instrument holder's position relative to other instruments lacking such a provision and are therefore not anti-dilutive as that term is traditionally used.\n\nOf all the issues related to derivative accounting, this issue has the most broad-based effect. Down-round price protection is very common in private equity financing. The price protection provisions find their way into convertible debt, convertible preferred stock, warrants and just about every other kind of instrument. These provisions violate the 'indexed to its own stock criteria' and cause the instrument to be subject to derivative accounting. This is so common, in fact, that we have provided a page that provides example language to be aware of as you analyze an instrument. There are any number of reasons why an instrument may be subject to derivative accounting. This is the most common.",,This is the second and last of two questions to determine if the freestanding agreement is indexed to the company''s own stock. Your response to this question and the previous question will determine whether the analysis should continue to determine if the instrument is classified in equity (because is IS indexed to the entity''s own stock) or should be classified as an asset or liability accounted for as a derivative instrument.,,
,,121,25-4,4,8,25,Indexed to Own Stock,d,Pass - indexed to own stock,,Pass,,Fail,,,,,,TRUE,26-17,Fail,and,,,,,,,,,,
26,classified_in_equity,122,26-1,1,9,26,Classified in Equity,q,Does the contract require net cash settlement?,,Yes,26-18,No,26-2,,,,,,,,,,,,,"1) My instrument contains both net cash and physical settlement provisions. Should I answer this question 'yes'?\n\nNo. Definitely not. If there are any settlement alternatives other than net cash settlement, answer this question 'no'.","If the contract can only be settled under its terms by net cash settlement (i.e., one party pays the other party the net cash or loss realized from the contract), then asset or liability classification is required.  And, logically, equity classification is precluded.\n\nIf the contract provides for physical settlement or net share settlement, or the choice between either cash settlement or share settlement, then the answer to this question is 'no'.\n\nThis question should be answered 'yes' only if 1) net cash settlement is REQUIRED or 2) net cash settlement is REQUIRED upon occurrence of an event(s) and that event(s) is outside the control of the entity. In the case of #2, even if there are other settlement alternatives, the presence of this requirement taints the instrument since net cash settlement is not provided as an alternative. It should also be pointed out here that the probability of the event occurring is not relevant. Even if the probability is considered highly remote, the taint of equity classification is still present.\n\nThe determination of whether an event is outside the control of the entity can get tricky. Events that are clearly unrelated to the entity such as weather events, geological events and governmental approvals are obvious. The entity cannot control those outcomes. The entity may be able to influence a government decision, but that is far from having control. The tricky part arises when the event is controlled by shareholders or the board of directors, which is typically elected by the shareholders.\n\nSo where do you draw the line at defining 'entity'? This can quickly become a legal question. State law is the ultimate determinant of what control can be exercised by shareholders, what rights reside with the board of directors, where board responsibility falls with respect to shareholders, and so on. All states are different in their statutes and in their case law.\n\nIf you have a net cash settlement requirement upon a change of control, you really need to consult with an attorney to understand which party really controls a change of control. Shareholders often have the right to approve a sale without management and/or board consent. Shareholders are not necessarily the 'entity'. Particular attention should be paid the the control exercised by the counterparty to the contract through percentage ownership of shares and board positions allowed to be appointed.\n\nThere is one possible exception to this result. The question here is whether the entity could be forced to net cash settle the contract, regardless of how remote. This issue of shareholder control is made moot if, under the terms of the contract or by means of the entity's governing documents, or both, the shareholders would also receive net cash settlement of their stock. In other words, if the contract requires net cash settlement upon occurrence of the event and shareholders would also receive cash upon occurrence of the event, then equity classification is not precluded. Clear as mud? Sorry, this one is hard to explain. The basic premise is that if the counterparty to the contract and the holders of the shares underlying the contract are effectively treated the same upon occurrence of the event, then this net cash settlement requirement does not by itself taint the instrument's equity classification.",,"Based upon your responses to the previous two questions, this instrument is considered indexed to the entity''s own stock. The analysis will now determine if the instrument should be classified in equity. This and the next several questions focus on the settlement alternatives written into the agreement. A contract that requires net cash settlement is not eligible for equity classification.",,
,,123,26-2,2,9,26,Classified in Equity,q,Does the contract require physical settlement or net share settlement?,,Yes,26-9,No,26-3,,,,,,,,,,,,,,"A derivative contract that requires either physical settlement or net share settlement should be classified in equity assuming all other conditions for equity classification are met. We'll get to those other conditions later.\n\nPhysical settlement means physical delivery of shares by one party to the other party. Net share settlement means delivery of only the net share difference effectively representing the gain (or loss) realized from the derivative instrument. In either case, this question should be answered 'yes' only if the contract requires either physical settlement or net share settlement. If the contract offers settlement alternatives one of which is either physical settlement or net share settlement, the answer to this question is 'no'.",,"A contract that requires physical settlement or net share settlement is eligible for equity classification as long as it meets all other equity classification conditions. Note that physical or net share settlement must be REQUIRED, not merely offered as a choice to either party.",,
,,124,26-3,3,9,26,Classified in Equity,q,Does the contract provide the counterparty with the choice of net cash settlement or settlement in shares?,,Yes,26-4,No,26-6,,,,,,,,,,,,ASC 815-40-25-2 to ASC 815-40-25-4,1) My instrument provides the entity with the choice of net cash settlement or share settlement. Should I answer 'yes'?\n\nNo. We'll get to the entity settlement options shortly. This question addresses settlement options held by the counterparty only.,"If the contract provides the counterparty with a choice of either net cash settlement or settlement in shares, it is assumed that the counterparty will choose net cash settlement. Net cash settlement generally precludes equity classification. There are, as is typical in accounting, exceptions. These exceptions are addressed in subsequent questions.",,The accounting standards assume that a contract that provides the counterparty with the choice of either net cash settlement or settlement in shares (physical or net) will be net cash settled. This assumption can be overcome in certain circumstances if the economic substance of the settlement alternatives are not equal.,,
,,125,26-4,4,9,26,Classified in Equity,q,"Is the economic value of the share settlement alternative greater than that of the net cash settlement alternative, or is the cash settlement alternative fixed or does it contain a cap or floor?",,Yes,26-17,No,26-5,,,,,,,,,,,,,,"Exceptions to the assumption of net cash settlement if the counterparty has the choice of net cash settlement or share settlement can be overcome if the economic value of the share settlement alternative is significantly greater (say at least 10%) than the net cash settlement alternative or if one of the cash settlement alternatives is fixed, capped, floored or collared. These differences in economic value could result in disregarding the uneconomic cash settlement alternative. This difference would have to be evaluated at each balance sheet date as part of the classification reevaluation process required under ASC 815.",,,,
,,126,26-5,5,9,26,Classified in Equity,q,Does the substance of the transaction in any way overcome the assumption of net cash settlement when the counterparty has the choice of net cash settlement or share settlement?,,Yes,26-6,No,26-17,,,,,,26-17,No,,,,,,,"Exceptions to the assumption of net cash settlement if the counterparty has the choice of net cash settlement or share settlement can be overcome if the economic value of the share settlement alternative is significantly greater (say at least 10%) than the net cash settlement alternative or if one of the cash settlement alternatives is fixed, capped, floored or collared. These differences in economic value could result in disregarding the uneconomic cash settlement alternative. This difference would have to be evaluated at each balance sheet date as part of the classification reevaluation process required under ASC 815.",,"If the counterparty has the choice of net cash or share settlement, net cash settlement is presumed unless the economic value of share settlement is greater than that of cash settlement. This evaluation should consider not only the value of the shares received, but also the costs associated with converting the shares to cash and the ease of doing so.",,
,,127,26-6,6,9,26,Classified in Equity,q,Does the contract provide the company with the choice of net cash settlement or settlement in shares?,,Yes,26-7,No,26-9,,,,,,,,,,,,,,ASC 815 assumes share settlement when the entity as the choice of net cash settlement or settlement in shares.,,The accounting standards assume that a contract that provides the entity with the choice of either net cash settlement or settlement in shares (physical or net) will be net be share settled. This assumption can be overcome in certain circumstances if the economic substance of the settlement alternatives are not equal.,,
,,128,26-7,7,9,26,Classified in Equity,q,"Is the economic value of the share settlement alternative greater than that of the cash settlement alternative, or is the cash settlement alternative fixed or does it contain a cap or floor?",,Yes,26-8,No,26-17,,,,,,26-17,No,,,,,,,"Exceptions to the assumption of share settlement if the entity has the choice of net cash settlement or share settlement relate primarily to differences in the economic value of the settlement alternatives (net cash versus shares) or if one of the settlement alternatives is fixed, capped, floored or collared. These differences in economic value could result in disregarding the uneconomic alternative and overcome the assumption of net cash settlement. The economic value difference would have to be significant (at least 10%) and this difference would have to be evaluated at each balance sheet date as part of the classification reevaluation process required under ASC 815.",,,,
,,129,26-8,8,9,26,Classified in Equity,q,Does the substance of the transaction in any way overcome the assumption of share settlement when the entity has the choice of net cash settlement or share settlement?,,Yes,26-9,No,26-9,,,,,,26-17,No,,,,,,,"Exceptions to the assumption of share settlement if the entity has the choice of net cash settlement or share settlement relate primarily to differences in the economic value of the settlement alternatives (net cash versus shares) or if one of the settlement alternatives is fixed, capped, floored or collared. These differences in economic value could result in disregarding the uneconomic alternative and overcome the assumption of net cash settlement. The economic value difference would have to be significant (at least 10%) and this difference would have to be evaluated at each balance sheet date as part of the classification reevaluation process required under ASC 815.\n\nYou need to carefully evaluate the terms of all agreements (those issued with this agreement and any issued previously that are still in force) that involve the counterparty to determine if the settlement results of the agreements should be chained and evaluated together. The ASC 815 guidance provides the example of a freestanding equity-linked agreement that provides the holder a fixed or guaranteed return such that the two instruments acting together behave like a debt instrument. In this case both agreements should be classified as liabilities regardless of any share-settled alternatives.\n\nThe ASC 815 guidance also provides the example of a detachable warrant that gives the holder the right to purchase shares at $75 and the right to put the warrant back to the company at $2,010 per share. The guidance requires liability classification of the warrant because of the significant difference in the economic value of the settlement alternatives (share settlement of the stock purchase option component versus cash settlement of the put component) and the effective guaranteed cash return afforded by the put. This warrant is in substance a debt instrument.",,"If the entity has the choice of net cash or share settlement, share settlement is presumed unless the economic value of share settlement is greater than that of cash settlement in which case the entity would presumably choose to avoid the uneconomic alternative. This evaluation should consider the entity''s historic pattern of settling contracts where there was a similar choice of settlement alternatives.",,
,,130,26-9,9,9,26,Classified in Equity,q,Does the contract permit the entity to settle in unregistered shares?,,Yes,26-10,No,26-10,,,,,,26-17,No,,,,,,,"The company must be able to settle the embedded derivative feature in unregistered shares or equity classification is prohibited. As long as there has not been a failed registration that would prohibit issuance of unregistered shares, settling in unregistered shares is within the company’s control since issuance generally requires only the approval of its board of directors. A requirement to issue registered shares, on the other hand, is beyond the control of the company since approvals are generally required by both shareholders and regulatory entities (e.g., SEC, listing exchange, etc.). Obtaining such approvals is not assured. In this circumstance, ASC 815 assumes that the counterparty will force cash settlement if registered shares can not be delivered and there are no other share settlement alternatives provided for in the agreement.\n\nThe one exception to this assumption provided in ASC 815-40-25-16 is that if the contract requires only that the shares be registered as of inception of the instrument and there are no requirements for subsequent timely filings or registrations, then registered share settlement is considered to be within the control of the entity. In other words, if registered shares are available to satisfy settlement of the contract at inception, and if the contract does not impose any timely filing or other registration requirements on the entity, then delivery of registered shares is deemed to be within the control of the company.\n\nIf the contract provides for a penalty that is payable in the event that the company fails to deliver registered shares, such penalty may help mitigate the presumption of cash settlement.\n\nA penalty should be evaluated in two different ways.\n\nFirst, is the penalty in effect a cash settlement for failure to deliver registered shares? This can be disregarded if the contract provides for other settlement alternatives such that the “uneconomic” penalty can be avoided by using a different settlement alternative.\n\nSecond, is the penalty approximately equal to the difference in fair value between registered and unregistered shares? If so, the entity may presume settlement in unregistered shares and that payment of the penalty is to compensate the counterparty for the difference in fair value between registered and unregistered shares which is in effect a discount, not a penalty.",,"Your responses to the previous set of questions indicate that the contract will be share settled according to its terms or based upon the economic substance of the transaction. The accounting standards impose additional conditions that must be met in order for the instrument to be classified in equity. The next set of questions, eight in all, will evaluate whether these additional conditions are met.",,
,,131,26-10,10,9,26,Classified in Equity,q,Does the entity have sufficient authorized and unissued shares available to settle the contract after considering all other commitments that may require the issuance of stock during the maximum period the derivative contract could remain outstanding?,,Yes,26-11,No,26-11,,,,,,26-17,No,,,,,,,"Upon issuance and at all times during the life of the embedded derivative, the entity must have sufficient authorized and unissued shares to satisfy share settlement requirements of the instrument. All contracts that are potentially settled in shares must be evaluated and there must be sufficient authorized and unissued shares for all contracts or this criteria is not met. For example, if the entity has a warrant whose exercise price is variable based upon changes in fair value of the company’s stock, an outside index or some other variable, there is no means of determining how many shares will be required to satisfy the warrant. Since the number of shares can not be determined, there is therefore no way for the entity to determine whether it has sufficient authorized and unissued shares to satisfy the derivative instrument.\n\nThe entity must continuously evaluate this during the life of the instrument since new contracts entered into by the entity may taint the classification determination made at inception. Likewise, if there is no way to determine if there are sufficient authorized and unissued shares at inception, this may become possible during the term of the instrument as one or tainting instruments expire or are exercised. For these reasons, it is important to maintain a schedule of all contract expiration dates to monitor the timing of expirations that affect this criterion.",,This is the second of eight criteria that determine whether the freestanding instrument can be classified in equity.,,
,,132,26-11,11,9,26,Classified in Equity,q,Does the contract contain an explicit limit on the number of shares to be delivered in a share settlement?,,Yes,26-12,No,26-12,,,,,,26-17,No,,,,,,,"As noted in the previous question, the number of shares issuable upon settlement of a contract may be variable. If, however, the number of shares that can be issued upon settlement is capped by a contractual or regulatory limit, then the maximum number of shares issuable is determinable and can be compared to the company’s authorized and unissued shares to determine if a sufficient number of shares is available.",,This is the third of eight criteria that determine whether the freestanding instrument can be classified in equity.,,
,,133,26-12,12,9,26,Classified in Equity,q,Are there any required cash payments to the counterparty in the event the company fails to make timely filings with the SEC?,,Yes,26-13,No,26-13,,,,,,26-17,Yes,,,,,,,"This is a largely self-explanatory requirement. If failure to make timely filings results in cash settlement of the contract, then this criterion is not met. This should not be confused with a PENALTY for failure to make timely SEC filings. A penalty does not fail this criterion since the instrument is not cash settled if such payment is made. Rather, the instrument continues its existence unaffected by the cash penalty.",,This is the fourth of eight criteria that determine whether the freestanding instrument can be classified in equity.,,
,,134,26-13,13,9,26,Classified in Equity,q,Are there any required cash payments to the counterparty if the shares initially delivered upon settlement are subsequently sold by the counterparty and the sales proceeds are insufficient to provide the counterparty with full return of the amount due?,,Yes,26-14,No,26-14,,,,,,26-17,Yes,,,,,,,"Top-off and make-whole provisions will taint the equity classification of the instrument and are particularly difficult to detect. You should carefully evaluate any provision that results in a payment based upon trading prices of the entity’s stock or a stock index. These payments are often determine several months after settlement and the language may not be included in the freestanding instrument itself, but in a Securities Purchase Agreement or some other agreement with the counterparty issued before, concurrently with, or subsequent to the instrument being evaluated.",,This is the fifth of eight criteria that determine whether the freestanding instrument can be classified in equity.,,
,,135,26-14,14,9,26,Classified in Equity,q,"If the contract provides for net-cash settlement, is net-cash settlement required only in specific circumstances in which holders of shares underlying the contract also would receive cash in exchange for their shares?",,Yes,26-15,No,26-15,,,,,,26-17,No,,,,,,,"There may be circumstances that require the company to cash-settle the contract. If the holders of shares underlying the contract also receive cash in exchange for their shares, then equity classification is permitted. An example of this is a warrant that must be net-cash settled if the company affects a change of control. If the holders of the warrant are the only parties net-cash settled, then equity classification is not permitted. If, however, holders of the underlying stock into which the warrant is convertible would also be net-cash settled upon a change of control, then this criterion is met. Entities should be mindful to consider whether an instrument that requires net-cash settlement under certain circumstances has two different settlement results. For example, a purchase warrant with an embedded contingent put has a share settlement component (the share purchase option) and a net cash settlement component (the contingent put).\n\nThe above does not apply if the cash payment is required only upon final liquidation of the entity. The first paragraph does apply if the instrument is cash settled and the holders of the underlying shares receive consideration other than cash, say a note.",,This is the sixth of eight criteria that determine whether the freestanding instrument can be classified in equity.,,
,,136,26-15,15,9,26,Classified in Equity,q,Are there any provisions in the contract that indicate that the counterparty has rights that rank higher than those of a shareholder of the stock underlying the contract?,,Yes,26-16,No,26-16,,,,,,26-17,Yes,,,,,,,"In other words, the instrument may not convey creditors rights (e.g., collateral security on assets, priority claim to cash/assets upon liquidation, etc.) that rank higher than those of the underlying shares.",,This is the seventh of eight criteria that determine whether the freestanding instrument can be classified in equity.,,
,,137,26-16,16,9,26,Classified in Equity,q,Is there a requirement in the contract to post collateral at any point or for any reason?,,Yes,26-17,No,26-17,,,,,,26-17,Yes,,,,,,,This one can be tricky. The posting in escrow of the entity's shares in support of the contract is not considered collateral as long as the number of shares posted does not exceed the maximum number of shares that would be required to satisfy share settlement of the agreement.,,"This is the eight and last of eight questions to determine whether the freestanding instrument meets all conditions necessary for equity classification. Your response to this and the previous seven questions will make this determination. If it is determined that all conditions for equity classification are met, then the instrument should be classfied in equity and is NOT subject to derivative accounting. If all conditions for equity classification are not met, then the instrument should be classified as an asset or liability and accounted for as a derivative.",,
,,138,26-17,17,9,26,Classified in Equity,d,Pass - meets criteria for classified in equity,,Yes,,No,,,,,,TRUE,26-18,Yes,and,,,,,,,,,,
,,262,26-18,18,9,26,Classified in Equity,r,A derivative contract linked to the company's own stock that requires net cash settlement should not be classified in equity. Recognize the contract as a freestanding derivative recorded intially at fair value and subsequently remeasured at fair value. Any changes in fair value should be recoognized as gain or loss in income.,,,,,,,,,,,,,,,,,,,,,,,
